tag_id	tag_name	rule	review_recommended
1	abject_body	fallback:other	1
2	abject_maternal	fallback:other	1
3	abject_witch_body	fallback:other	1
4	abrasion_with_beauty	fallback:other	1
5	accidental_schlock_masterpiece	fallback:other	1
7	adventure_film	fallback:other	1
8	aesthete_stardom_metaphor	fallback:other	1
9	agonized_braying_vocal	fallback:other	1
10	aids_crisis	fallback:other	1
11	aip_corman	fallback:other	1
13	alien_invasion	fallback:other	1
14	alien_persona	fallback:other	1
16	alienness_made_familiar	fallback:other	1
18	all_glitter_no_grease	fallback:other	1
19	alleged_american_sheen	fallback:other	1
22	amateur_noise_to_proposition	fallback:other	1
23	amateurism_as_method	fallback:other	1
24	american_giallo_adjacent	fallback:other	1
25	american_hardcore	fallback:other	1
27	amoralcore	fallback:other	1
28	amorphous_synth_soundscape	fallback:other	1
30	anger_rhythm_compact	fallback:other	1
31	animal_attack	fallback:other	1
33	animal_title_giallo	fallback:other	1
35	anomalous_vocal_collision	fallback:other	1
36	anyone_can_band_feminist_takeover	fallback:other	1
37	anything_for_a_scare	fallback:other	1
42	archaic_mother	fallback:other	1
43	arena_spectacle	fallback:other	1
44	art_glam	fallback:other	1
46	art_psychedelia	fallback:other	1
49	artificial_life	fallback:other	1
50	artificial_monster	fallback:other	1
51	artist_autonomy	fallback:other	1
52	artist_killer_exploitation	fallback:other	1
53	atomic_age	fallback:other	1
54	atomic_monster	fallback:other	1
57	avant_garage_polyhedron	fallback:other	1
58	awesome_in_small_doses	fallback:other	1
60	backwoods_slasher	fallback:other	1
61	bad_girl_confessional	fallback:other	1
62	banality_with_inconceivable_terror	fallback:other	1
63	band_formation_context	fallback:other	1
64	barked_sweet_melody	fallback:other	1
65	baroque_trash_sensibility	fallback:other	1
66	barrandov_context	fallback:other	1
68	bava_gothic	fallback:other	1
70	beautiful_noise	fallback:other	1
72	bebop	fallback:other	1
73	beer_paid_cast_exploitation	fallback:other	1
74	beloved_british_overachiever	fallback:other	1
75	berlin_cold_war	fallback:other	1
76	berlin_wall_context	fallback:other	1
78	black_gloves	fallback:other	1
80	blaxploitation_action	fallback:other	1
81	blaxploitation_gothic_rewrite	fallback:other	1
83	blood_as_paint	fallback:other	1
84	blues	fallback:other	1
86	body_count	fallback:other	1
87	body_genre	fallback:other	1
89	body_mutation	fallback:other	1
95	brute_rage_with_mock_strings	fallback:other	1
96	budget_ambition_gap	fallback:other	1
99	calculated_suspense_dissipation	fallback:other	1
100	camp_reception	fallback:other	1
101	camp_slasher	fallback:other	1
102	camp_spectacle	fallback:other	1
103	campus_slasher	fallback:other	1
104	canadian_small_town_demon	fallback:other	1
105	candied_exploitation	fallback:other	1
107	cannibalism_as_possessiveness	fallback:other	1
108	capitalist_family_endgame	fallback:other	1
110	casio_authenticity_failure	fallback:other	1
111	castor_oil_for_the_ears	fallback:other	1
112	cat_in_heat_yowl	fallback:other	1
113	cathartic_body_beat	fallback:other	1
115	catholic_recruiting_image	fallback:other	1
116	cbgb_context	fallback:other	1
118	censorship_context	fallback:other	1
120	cheapjack_tactility	fallback:other	1
121	chicago_blues	fallback:other	1
123	child_monster_of_nuclear_family	fallback:other	1
125	civil_defense_collective_solidarity	fallback:other	1
126	civil_rights_context	fallback:other	1
